Ward_Name,Ward_No,Traffic_Feature_Count,Construction_Count,Industrial_Count,Sensitive_Count,Total_Source_Count,Traffic_%,Construction_%,Industrial_%,Dominant_Source,Confidence
ANARKALI,232,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
GANDHI NAGAR,234,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
AZAD NAGAR,235,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
RAGHUBAR PURA,236,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
SHAHDARA,237,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
JHILMIL,238,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
VIVEK VIHAR,239,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
DILSHAD COLONY,240,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
PUNJABI BAGH,103,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
NEW RANJIT NAGAR,96,0,0,0,1,0,0.0,0.0,0.0,Unknown,No Data
KIRTI NAGAR,97,0,0,7,7,7,0.0,0.0,100.0,Industrial Pollution,High
MANSAROWER GARDEN,98,51,0,2,2,53,96.22641509433963,0.0,3.7735849056603774,Traffic Emission,High
HASTSAL,122,0,0,0,6,0,0.0,0.0,0.0,Unknown,No Data
SANGAM PARK,71,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
MODEL TOWN,72,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
KAMLA NAGAR,69,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
INDER LOK COLONY,74,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
KISHAN GANJ,75,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
DEPUTY GANJ,76,0,0,0,1,0,0.0,0.0,0.0,Unknown,No Data
KASHMERE GATE,77,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
MAJNU KA TILA,78,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
JAMA MASJID,79,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
TILAK NAGAR,114,0,0,0,5,0,0.0,0.0,0.0,Unknown,No Data
MAJOR BHUPINDAR SINGH NAGAR,115,0,0,1,0,1,0.0,0.0,100.0,Industrial Pollution,High
VIKASPURI EAST,116,0,0,0,4,0,0.0,0.0,0.0,Unknown,No Data
MOHAN GARDEN,125,0,0,0,1,0,0.0,0.0,0.0,Unknown,No Data
NAWADA,126,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
UTTAM NAGAR,127,0,0,0,2,0,0.0,0.0,0.0,Unknown,No Data
BINDAPUR,128,0,0,0,5,0,0.0,0.0,0.0,Unknown,No Data
DABRI,129,122,0,0,4,122,100.0,0.0,0.0,Traffic Emission,High
MATIALA,136,0,3,0,30,3,0.0,100.0,0.0,Construction Activity,High
ROSHANPURA,137,0,0,1,1,1,0.0,0.0,100.0,Industrial Pollution,High
MAYUR VIHAR PHASE-I,209,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
ROHINI,21,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
DALLOPURA,210,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
TRILOK PURI,211,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
NEW ASHOK NAGAR,212,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
KALYAN PURI,213,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
KHICHRIPUR,214,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
KONDLI,215,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
GHAROLI,216,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
VINOD NAGAR,217,0,1,2,0,3,0.0,33.33333333333333,66.66666666666666,Industrial Pollution,Medium
ASHOK VIHAR,68,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
WAJIRPUR,67,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
SAWAN PARK,66,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
NIMRI COLONY,65,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
SHAKUR PUR,64,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
KOHAT ENCLAVE,63,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
RAMPURA,62,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
TRI NAGAR,61,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
SARASWATI VIHAR,60,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
RANI BAGH,59,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
PASCHIM VIHAR NORTH,58,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
PASCHIM VIHAR SOUTH,57,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
SHALIMAR BAGH SOUTH,56,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
SHALIMAR BAGH NORTH,55,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
PITAMPUR NORTH,54,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
PITAMPURA SOUTH,53,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
NAHARPUR,52,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
ROHINI EAST,51,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
ROHINI CENTRAL,50,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
MANGOLPURI  WEST,48,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
MANGOLPURI  EAST,46,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
ROHINI SOUTH,45,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
QUAMMRUDDIN NAGAR,44,0,0,1,0,1,0.0,0.0,100.0,Industrial Pollution,High
NANGLOI EAST,43,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
PERAGHARHI,42,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
GURU HARKISHAN NAGAR,41,0,0,0,1,0,0.0,0.0,0.0,Unknown,No Data
SULTANPURI  SOUTH,40,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
SULTANPURI  EAST,37,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
KIRARI SULEMAN NAGAR,35,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
KARALA,29,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
BEGUMPUR,27,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
POOTH KALAN,25,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
VIJAY VIHAR,24,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
GEETA COLONY,230,0,0,0,1,0,0.0,0.0,0.0,Unknown,No Data
KRISHNA  NAGAR,229,0,0,0,5,0,0.0,0.0,0.0,Unknown,No Data
PREET VIHAR,228,0,0,0,3,0,0.0,0.0,0.0,Unknown,No Data
I.P EXTENTION,227,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
ANAND VIHAR,225,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
None,None,0,0,1,0,1,0.0,0.0,100.0,Industrial Pollution,High
SHAKARPUR,223,0,1,2,3,3,0.0,33.33333333333333,66.66666666666666,Industrial Pollution,Medium
LAXMI NAGAR,222,0,0,0,5,0,0.0,0.0,0.0,Unknown,No Data
RITHALA,22,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
MAYUR VIHAR PHASE II,219,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
MANDAWALI,218,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
KARAM PURA,100,0,0,1,0,1,0.0,0.0,100.0,Industrial Pollution,High
MAHAVIR ENCLAVE,147,0,0,0,3,0,0.0,0.0,0.0,Unknown,No Data
SAGARPUR,131,586,0,0,0,586,100.0,0.0,0.0,Traffic Emission,High
SAGARPUR WEST,132,130,0,0,0,130,100.0,0.0,0.0,Traffic Emission,High
MUNDAKA,30,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
EAST PATEL NAGAR,95,0,0,0,5,0,0.0,0.0,0.0,Unknown,No Data
WEST PATEL NAGAR,94,0,0,1,3,1,0.0,0.0,100.0,Industrial Pollution,High
DEV NAGAR,92,0,0,0,1,0,0.0,0.0,0.0,Unknown,No Data
KAROL BAGH,91,0,1,0,1,1,0.0,100.0,0.0,Construction Activity,High
MODEL BASTI,90,4,0,1,5,5,80.0,0.0,20.0,Traffic Emission,High
RANA PRATAP BAGH,70,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
BAKHTAWAR PUR,4,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
ALIPUR,3,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
SAHIBABAD DAULAT PUR,26,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
BANKNER,2,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
MALKAGANJ,9,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
JHARODA,8,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
MUKUND PUR,6,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
BAWANA,28,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
BHALSWA,19,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
SAMAYPUR BADLI,17,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
JAHANGIRPURI-I,16,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
SARAI PIPAL THALA,15,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
MAHIPALPUR,144,2126,0,0,5,2126,100.0,0.0,0.0,Traffic Emission,High
KAPASHERA,143,445,11,12,0,468,95.08547008547008,2.3504273504273505,2.564102564102564,Traffic Emission,High
BIJWASAN,141,4,7,5,10,16,25.0,43.75,31.25,Construction Activity,Low
ADARASH  NAGAR,14,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
DHIR PUR,13,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
G.T.B. NAGAR,12,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
TIMAR PUR,10,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
RAJA GARDEN,101,0,0,1,0,1,0.0,0.0,100.0,Industrial Pollution,High
RAGHUBIR NAGAR,102,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
RAJOURI GARDEN,105,0,0,0,2,0,0.0,0.0,0.0,Unknown,No Data
NANGAL RAYA,110,1238,0,1,2,1239,99.91928974979822,0.0,0.08071025020177562,Traffic Emission,High
HARI NAGAR,111,356,0,5,7,361,98.61495844875347,0.0,1.3850415512465373,Traffic Emission,High
SUBHASH NAGAR,112,33,0,0,2,33,100.0,0.0,0.0,Traffic Emission,High
MADHU VIHAR,148,0,0,0,2,0,0.0,0.0,0.0,Unknown,No Data
BUDH VIHAR,23,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
NANGLOI JAT WEST,31,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
NITHARI,34,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
SULTANPUR MAJRA,39,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
ROHINI NORTH,49,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
LIBAS PUR,18,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
BRAHAM PURI,254,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
DICHAON KALAN,139,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
MOTI NAGAR,99,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
MANGOLPURI,47,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
LAJPAT NAGAR,155,0,1,0,5,1,0.0,100.0,0.0,Construction Activity,High
PALAM,145,54,0,0,6,54,100.0,0.0,0.0,Traffic Emission,High
KISHANGARH,172,1149,4,1,11,1154,99.56672443674177,0.34662045060658575,0.08665511265164644,Traffic Emission,High
VISHWASH NAGAR,226,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
MADIPUR,104,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
RAJENDER NAGAR,149,26,1,1,12,28,92.85714285714286,3.571428571428571,3.571428571428571,Traffic Emission,High
R. K. PURAM,167,1803,0,0,5,1803,100.0,0.0,0.0,Traffic Emission,High
SAFDARJANG ENCLAVE,163,509,3,0,7,512,99.4140625,0.5859375,0.0,Traffic Emission,High
HAUZ KHAS,164,0,0,0,4,0,0.0,0.0,0.0,Unknown,No Data
KOTLA MUBARAKPUR,158,0,0,0,1,0,0.0,0.0,0.0,Unknown,No Data
MANGLAPURI,130,0,0,0,5,0,0.0,0.0,0.0,Unknown,No Data
MANGOL PURI  NORTH,38,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
TAGORE GARDEN,106,0,0,1,3,1,0.0,0.0,100.0,Industrial Pollution,High
LADOSARAI,169,0,0,0,14,0,0.0,0.0,0.0,Unknown,No Data
NARELA,1,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
BHALASWA JAHAGIR PUR,5,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
BURARI,7,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
PATPARGANJ,220,0,0,0,2,0,0.0,0.0,0.0,Unknown,No Data
PANDAV NAGAR,224,0,0,2,5,2,0.0,0.0,100.0,Industrial Pollution,High
KISHAN KUNJ,221,0,0,0,2,0,0.0,0.0,0.0,Unknown,No Data
DHARAMPURA,233,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
NEW USMANPUR,251,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
BHAJANPURA,253,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
NEHRU VIHAR,267,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
SAID UL AJAIB,177,0,0,0,1,0,0.0,0.0,0.0,Unknown,No Data
SANGAM VIHAR,178,0,0,0,1,0,0.0,0.0,0.0,Unknown,No Data
MEHRAULI,170,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
SANGAM VIHAR WEST,186,0,0,0,2,0,0.0,0.0,0.0,Unknown,No Data
TIGRI,179,0,0,0,2,0,0.0,0.0,0.0,Unknown,No Data
ZAKIR NAGAR,205,0,0,1,1,1,0.0,0.0,100.0,Industrial Pollution,High
NAJAFGARH,138,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
JAHANGIR PURI -II,20,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
KUNWAR SINGH NAGAR,121,0,0,0,9,0,0.0,0.0,0.0,Unknown,No Data
VIKAS NAGAR,124,0,0,0,11,0,0.0,0.0,0.0,Unknown,No Data
VIKAS PURI,123,0,1,0,3,1,0.0,100.0,0.0,Construction Activity,High
MAHAVIR NAGAR,113,0,0,0,8,0,0.0,0.0,0.0,Unknown,No Data
DARYAGANJ,153,0,0,6,14,6,0.0,0.0,100.0,Industrial Pollution,High
BALJIT NAGAR,93,0,0,2,0,2,0.0,0.0,100.0,Industrial Pollution,High
NILOTHI,32,0,0,1,0,1,0.0,0.0,100.0,Industrial Pollution,High
PRATAP VIHAR,36,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
PREM NAGAR,33,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
SHASTRI NAGAR,73,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
VISHNU GARDEN,107,0,0,0,1,0,0.0,0.0,0.0,Unknown,No Data
TUKHMIR PUR,270,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
RAJ NAGAR,142,14,0,0,0,14,100.0,0.0,0.0,Traffic Emission,High
